Date,Time,User1,User2,Message,SubLabel,CBLabel
27.4.2019,4:49:39,79,199,Context. What is described in melodic accent is actually called tonal word accent and this was first recorded in the 1920s by the German linguist Ernest A. Meyer in his two volume work Die Intonation den Schwedischen The Intonation of Swedish; and systematically described in Eva Grading’s The Scandinavian Word Accents 1977; based mostly on Meyers material. ,2,0
5.8.2022,18:15:22,26,56,So we meet again...   You probably don't remember me; but I am here to make you pay for what you did to me.  Asshole!     ,1,0
7.8.2020,20:41:47,160,90,It seems to give a status to that one recording which is not due I speak as a trumpet player who very much admires Wynton as a player; but is very suspicious of the hype which sometimes attends him and which seems to ignore the many fine recordings of this piece which have been made before and after that one. ,2,0
15.2.2021,9:37:29,132,189,camp lazlo do you like it or not?- I don't like camp lazlo; it bores me and lazlo is an idiot.,1,0
25.9.2020,4:27:12,84,183,Be patient. ,2,0
11.11.2020,10:16:47,168,154,Fuck my stupid muslim ass! ,1,0
18.9.2021,17:21:08,102,43,Calcutta > Kolkata name change Hi there. I noticed you voted in the Wikipedia Naming policy poll to keep the Wikipedia policy of naming an article with the most familiar English name. You may not be aware that another attempt has begun to rename the Calcutta article to Kolkata; which is blatantly not the most common name of the city; whether it’s official or not. If you want to vote on the issue you can do so at Talk Calcutta. Cheers.,2,0
18.3.2021,9:57:55,31,80,Not a reliable source? ITS HIS FUCKING SHOW WHAT ARE YOU ON OF COURSE ITS A RELIABLE SOURCE. That's like asking me what my name is; I KNOW BECAUSE IT'S ME. What are you smoking??  ,1,0
3.8.2021,6:06:23,11,122,I really do not want to cause anyone more work than necessary. But I can’t help if someone try to suit every single article to his own fashion. ,2,0
23.7.2021,1:27:41,133,106,wtf   fuck this shit why the fuck wuld sum pussy liccking site be fucking offline? FUCK!   ,1,0
23.4.2020,3:29:19,3,147,A few too many spoilers for future volumes. Editing.,2,0
4.5.2022,9:01:23,2,92,Fuck off and get a life. Pricks   ,1,0
16.11.2021,20:04:26,134,64,I am moving Antigua here; since there are about 100 links here; which all refer to Antigua of Antigua and Barbuda. Link to disambiguate page on Antigua and Barbuda is placed. ,2,0
14.10.2020,3:15:14,107,87,Dex will you please stop being such a bitch?   Don't you believe in first ammendment rights? Come on now! I'll bet you are against legalizing cow tipping too aren't you you little fucking dork? ,1,0
6.11.2022,18:04:17,53,146,There probably other mistakes too my source of these events isn’t the greatest if you know of a more reliable one than OnThisDay.com please mention it. This is just my first step in a day update Tomorrow I am going to check each entry for accuracy and then update the corresponding year and subject pages. I usually find several mistakes or misplaced entries. 2313 Mar 11; 2003 UTC,2,0
30.10.2021,1:17:59,98,156,Who are YOU to tell ME?? I'll do WHAT I like WHEN I like...cocksucker,1,0
2.1.2019,8:17:58,88,115,IT is still rather slangy in places; and this ought to be rewritten. ,2,0
1.1.2020,22:30:05,12,124,FUCK OFF THE LOT OF YOU. CRAZY BASTARDS THAT IS ALL YOU ARE.,1,0
16.10.2019,14:09:02,63,146,The picture of Ultra seven and Ultra mother should be deleted; since this article belongs more to the original Ultraman series than to the whole franchise. We’ve got the Ultra Series article now. ,2,0
25.2.2022,8:02:08,93,194,fuck you   fuck you retard son of a bitch your ass is bigger that goatse; u suck 10 dicks at the same time and drink all the cum; your mom worked as a prostitute to buy condoms for your dad; that fucking retard; you are a failure at all you do; you should jump from the top of the empire state so the world becomes a better place; you are the reason of the global warming; you fart so much you drown everyone is with in a room; you waste precious oxygen that should be used by better people.,1,0
16.12.2019,14:33:32,199,7,There may indeed be blatant POV in the article that needs to be removed. Please try to illustrate some of these here for consideration. ,2,0
27.7.2022,12:19:20,133,140,Dick   Hey; dick.  Why don't you go read the Aqua Teen Hunger Force wiki page for Marines episode and see where it actually says jigsaw. I say that would constitue in other media references; wouldn't you?  Probably not; because it seems all of you wiki monitors are fucking cock sucking assholes who don't understand what the fuck is going on half the time.  Seriously; you're a dick. Did you even read what I wrote; or did you just automatically delete it because you're a cock?  Fuck you to death.,1,0
15.4.2021,20:50:10,123,73,Sorry I’ve written this before looking at your work of today. I like your lists very much; don’t change them hastily. ,2,0
6.8.2021,12:35:13,149,80,youre a little faggot who dosent know me you faggot go suck a dick,1,0
22.1.2019,3:49:52,9,92,Or should it be Turkey; the successor to the Ottoman Empire; who controlled it prior to that? Egypt; who controlled it in the 13th century? Germany? Fredrick II held it during the Crusades. The Vatican; as spiritual successor to the Crusaders? Italy; as successors to Rome? ,2,0
1.12.2021,2:33:37,63,122,How dare you criticise the hard-working and under-rated mods at urban? Those bastards deserved banning; and I'd ban more; in case they posted critical comments too.  I never fucking posted this!,1,1
21.2.2022,15:00:34,116,30,I have removed your template from sphere packing because it is not a branchofmath page  it is an article about a very specific class of problems. I also have big concerns about this whole template idea; which I have briefly outlined at template talkMathematics.,2,0
20.4.2021,22:08:07,56,31,YOURE A FRREAKING JEW; AND PLEAZE COMMIT SUICIDE.,1,0
9.3.2022,21:15:07,73,80,Presumably if he wrote articles on FUNK and GRUNK he would do the same thing there; thus creating yet more revert wars. The solution is not the creation of more articles but the consistent reversion of Roy Lopez’s falsehoods. ,2,0
24.3.2021,18:57:49,107,63,It's a fucking disgrace.  ,1,0
3.12.2019,17:49:00,191,125,Again; there was no as if in GTBacchuss statement; nor any as if equivalent. GTBacchus maintains that Norton was; indeed; an emperor. If both you and he now agree that the articles previous use of the word emperor was figuratI’ve and that Norton had no authority to issue decrees or orders; or anything else; you should be happy to have an article that clarifies that.  ,2,0
16.11.2020,11:39:07,136,196,Stop talking you stink of penis breath.,1,0
14.1.2021,6:31:32,126,123,I agree; booth is my lover,2,0
28.3.2021,21:23:53,6,197,Shut up!   For fuck sake I haven't edited any of these articles I've never even heard of them for fuck sake. Im 13; why would i be interested in stuff I don't even know about; and stuff I wouldn't want to know about? ,1,0
23.5.2019,2:08:57,47,136,Hi Docu. I notice that you reverted my change addition of a pointer to the Project Gutenberg in the Book sources. Did I do something wrong? This is my first contribution; so maybe I didn’t read the instructions close enough? Thanks. ,2,0
1.4.2019,1:15:00,172,30,You're full of shit.  ,1,0
9.6.2019,14:18:20,191,126,You’ve always been one of the best here; and I hope this won’t cause you to leave. Best as always;,2,0
7.11.2022,21:30:04,99,123,GWAH (fuck you nigger) ,1,0
15.11.2021,21:32:40,119,34,Image licensingHi! Thanks for uploading ImageDresdenSemperOper2.jpg. I notice it currently doesn’t have an Image copyright tag. Could you add one to let us know its copyright status? You can use gfdl if you release it under the GFDL; etc. If you don’t know what any of this means; just let me know where you got the Imagesand I’ll tag them for you. If you uploaded other Images; please clarify copyright for them as well; otherwise the Imageswill  eventually be deleted. Thanks; 0139; 2004 Dec 13 UTC,2,0
2.7.2020,1:50:43,174,96,What the hell man! Look; I'm really pissed that you took off Danny on the recurring list of the o.c.....what the hell is your problem???,1,0
8.4.2019,16:15:41,11,172,Oh; sorry. I actually found it on another page but I forgot it anyway It was actually a note for myself was going to rewrite the text. Suppose it slipped out of my mind. ,2,0
8.10.2019,16:17:41,172,191,FUCKYOU   wow;just wow james delenoy. u are a class A faggot. i could pwn u in a coma. i dont give a fuck if u block this account cuz we are a freight train from hell and we will make more and come at u with the ferocity of a mama bear.  SUCK OUR GRUNDLES; the entire waltmanist community,1,0
14.10.2021,25:47:16,51,177,Id like to clarify my concerns with the current version of the article; following the reversion of some of my edits by Stirling Newberry. My general concern is that it doesn’t accurately describe the debate about various causes of hyperinflation. The article seems to me to be describing a stereotyped view of each side of the debate; which exagerrates the amount of controversy and obscures the amount of common ground. Monetary and Crisis of confidence explanations of hyperinflation are describes as if they are two completely different competing theories; held by different schools of thought monetarists and neoliberals. I think that the overwhelming majority of economists would see both monetary and confidence factors as being Important as the initial root cause of hyperinflation; with the I amportance varying from case to case. A lot of the economics is very uncontroversial. For example Its totally uncontroversial that a massI’ve increase in the money supply will  cause hyperinflation. Virtually any economist will  agree that a big increase in the money supply is a possible trigger for hyperinflation; even if they don’t believe its the only one. To say I amply that neoliberal economists don’t believe that some hyperinflations are initially triggered by monetary expansion is to caricature their position. Its totally uncontroversial that loss of confidence in the monetary system has a big role in hyperinflation. To I amply that monetarists don’t see a role for reestablishing confidence in the currency  that just stopping the printing presses is enough  is just misleading. Monetarists talk about ways of establishing confidence all the time. I would be interested to hear from Stirling what specific inaccuracies were in my edits; and why he deleted the statement The two models are closely related; and often economists may explain hyperinflation as being due to a combination of both effects.,2,0
1.7.2019,20:55:43,23,200,Are you fucker mother fucker have nothing to do but block University computers. Go and suck cocks ,1,0
18.11.2022,7:19:23,59,134,Aphrodisiacs Recipe for an aphrodisiac Glaze a chopped onion in butter Add three handfuls of nettles Steam for three minutes Add a pint of milk and nearly boil Liquidize Cooking destroys the sting but even so; drink quickly to avoid a stiff neck ,2,0
26.8.2020,19:25:33,87,38,CIGAN GYPSY RETARDE IDIOT MILBURN! Stop your picture deletions and vandalisms! Animal!,1,0
5.6.2021,17:40:09,188,139,This page may be a stub but still; it is excellent and covers the subject quite well. Keep up the good work.,2,0
15.5.2019,10:45:57,170,140,Fuck you.  'Fuck you in the ass.',1,0
18.6.2020,14:10:17,81,142,Wake upSlavs arent intertwined in the royal families of Denmark and the UK and there is no Slavic art in those areasexcept stolen and traded to back up your revisionist claI am of a common bond of ethnoracial descent. It is common to find Celtic and Nordic art side by side and intertwined; but please; don’t lie about the social status of thrallsslavery. Slavs invaded Germania and caused the Volkerwanderung; which ended up with Germans coming back to reclaI am the land by the Teutonic Knights. All of this resulted in World War II and the Cold War. Please refrain from using braggart fiction purporting dynastic connections as truth in Wikipedia articles. This is a hostile act and I will  not be silent over it!,2,0
22.10.2022,12:33:00,75,86,Anyone else glad that this stupid fucker offed himself?=  I sure am. Hey Britbarb; fuck off. Your nephew was a punk who couldn't handle his shit. And now you and his parents are on some fucking caped-crusade to destroy the lives of MILLIONS of innocent people who just want to alter their consciousness... I'm sure that's what your Salvia-using kid would have wanted. Karma's a bitch. Keep up your holy war; and the universe will smack you down so fucking hard that you'll wish that you all had killed yourselves when that pussy Brett did.,1,0
24.12.2020,10:24:04,102,166,No Need For Certian Characters Their are some extremely insignificant characters in this artical such as Ami and Akane that shouldnt be in there. If youve seen the anI ame Naruto then you would know that they don’t need to be in this artical as they heald very little purpose in Naruto.,2,0
27.6.2019,1:10:40,65,98,serious; i mean what the fuck is this? Fucking Prison fucking camp? Please fucking unblock me,1,0
2.2.2022,24:15:24,8,31,that is; I am trying to see the forest of making a good article on the film rather than the trees of every factual detail within the film that contributors might have multiple viewpoints about. For an encyclopedia based around the concept of a Neutral Point of View; any attempt to either counter or defend the content of a subject that is; in itself; an editorial statement seems wrong; such discussions wind up as parasites draining the life and meaning out of an otherwise useful article. ,2,0
5.6.2022,10:48:51,54,162,Polish Corridor is a historical term. It is not in use anymore as a designation of a geographical entity; but only of a historical region. You and I would not call it corridor today; but people in the 1920s did. Therefore the article should stay here it’s just changed some sentences added by the anonymous user. Do you agree with these changes?,2,0
21.8.2020,5:42:14,142,18,Fuck you cunnywafts  ,1,0
23.11.2022,5:03:05,57,120,Thanks for the coherent answer.  I’ve seen your exchange with Anthony only now that explains something. I find interaction with him can be; uh; tiring can’t think of a better word at times Have a nice weekend! ,2,0
